City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
118,rocha,0,UY,1575306686,33,-34.48,-54.34,69.67,10.71
119,chimore,100,BO,1575306817,89,-16.98,-65.13,72.88,3.56
120,pandan,100,PH,1575306817,74,11.72,122.09,82.62,10.27
121,airai,77,TL,1575306795,87,-8.93,125.41,67.17,1.88
122,aykhal,0,RU,1575306817,73,65.95,111.51,-32.8,2.24
123,tiksi,75,RU,1575306817,97,71.64,128.87,-31.5,2.3
124,port alfred,4,ZA,1575306818,90,-33.59,26.89,71.01,1.01
125,avarua,100,CK,1575306818,88,-21.21,-159.78,73.4,4.7
126,dingle,100,PH,1575306818,89,11.0,122.67,74.62,5.73
127,ilulissat,90,GL,1575306818,85,69.22,-51.1,23.0,9.17
128,bloemhof,29,ZA,1575306818,17,-27.65,25.61,84.25,13.29
129,komsomolskiy,100,RU,1575306818,95,67.55,63.78,14.61,9.08
130,yerbogachen,0,RU,1575306819,88,61.28,108.01,-32.15,1.86
131,vila,0,IT,1575306819,100,45.18,8.4,46.4,1.12
132,mendeleyevsk,0,RU,1575306819,78,55.89,52.31,15.8,13.42
133,fortuna,90,US,1575306819,71,40.6,-124.16,60.01,11.41
134,tuktoyaktuk,5,CA,1575306819,83,69.44,-133.03,-5.8,14.99
135,gualaquiza,92,EC,1575306819,90,-3.4,-78.58,71.42,0.6
136,adeje,50,NG,1575306819,80,5.68,5.76,79.99,5.73
137,mimon,90,FR,1575306819,100,43.67,0.19,42.8,9.17
138,general roca,96,AR,1575306820,13,-39.03,-67.58,84.2,12.75
139,uvinza,97,TZ,1575306820,96,-5.1,30.39,67.95,2.91
140,sesheke,40,NA,1575306820,44,-17.47,24.29,83.64,4.7
141,ribeira grande,75,PT,1575306820,88,38.52,-28.7,68.0,18.34
142,shamgarh,6,IN,1575306820,47,24.18,75.63,65.32,8.99
143,surgut,66,RU,1575306820,72,61.25,73.4,15.8,11.18
144,coihaique,75,CL,1575306820,47,-45.58,-72.07,59.0,10.29
145,coos bay,20,US,1575306821,87,43.37,-124.22,53.01,8.05
146,barrow,51,AR,1575306821,13,-38.31,-60.23,88.21,10.27
147,victoria,75,BN,1575306817,88,5.28,115.24,78.8,3.36
148,esil,99,KZ,1575306821,94,51.96,66.41,24.71,12.12
149,geraldton,20,CA,1575306688,84,49.72,-86.95,8.6,3.36
150,brae,75,GB,1575306637,100,60.4,-1.35,46.4,16.11
151,singaraja,35,ID,1575306821,68,-8.11,115.08,83.1,8.25
152,bredasdorp,0,ZA,1575306822,46,-34.53,20.04,69.8,20.8
153,batemans bay,0,AU,1575306822,71,-35.71,150.18,48.0,3.0
154,lorengau,88,PG,1575306822,76,-2.02,147.27,82.98,4.97
155,lagoa,40,PT,1575306822,72,37.14,-8.45,59.0,11.41
156,normandin,40,CA,1575306822,71,48.84,-72.53,8.6,9.17
157,manaure,75,CO,1575306822,74,11.78,-72.45,86.0,11.41
